Rank,Release Group,Worldwide,Domestic,%,Foreign,%
175,Ghost Project,"$24,642",-,-,"$24,642",100%
176,Yumurtalar Firarda: Buz Macerasi,"$23,316",-,-,"$23,316",100%
177,Rocco and His Brothers Undated Italy Release,"$22,013",-,-,"$22,013",100%
178,Itoiz Udako Sesioak,"$21,955",-,-,"$21,955",100%
179,MOON's Walking,"$19,225",-,-,"$19,225",100%
180,Picnic at Hanging Rock 2025 Re-release,"$18,620","$18,620",100%,-,-
181,Seeking Haven for Mr. Rambo,"$17,536",-,-,"$17,536",100%
182,Nobody Likes Me,"$16,928",-,-,"$16,928",100%
183,Before I Forget,"$15,958",-,-,"$15,958",100%
184,The Kingdom,"$15,515",-,-,"$15,515",100%
185,Swept Away 2025 Re-release,"$14,267","$14,267",100%,-,-
186,Mudbrick,"$12,718",-,-,"$12,718",100%
187,Ciento volando,"$12,653",-,-,"$12,653",100%
188,The Wrath of God,"$12,200",-,-,"$12,200",100%
189,Cao Bela,"$12,145",-,-,"$12,145",100%
190,Both Eyes Open,"$12,013","$12,013",100%,-,-
191,National Theatre Live: Prima Facie 2024 Re-release,"$11,124",-,-,"$11,124",100%
192,A Woman Is a Woman 2025 Re-release,"$10,778","$10,778",100%,-,-
193,Banzo,"$9,788",-,-,"$9,788",100%
194,Ennu Swantham Punyalan,"$9,626",-,-,"$9,626",100%
195,When I'm Ready,"$9,104","$9,104",100%,-,-
196,Girls Town 2025 Re-release,"$8,677","$8,677",100%,-,-
197,Miocardio,"$7,800",-,-,"$7,800",100%
198,Silver Apricot,"$7,781",-,-,"$7,781",100%
199,Macbeth,"$7,715",-,-,"$7,715",100%
200,The Glassworker,"$7,337",-,-,"$7,337",100%
